Drive depth,Absolute Depth,Calendar,Volume,MacCharcoal,Moss,Abies wholeneedle,Abies tip,Abies mid,Abies base,Abies NeedleTotal,Acerub bud,Betspp twig,Betspp seed,Betspp bract,BetulaSpp Total,BetulaAl fruit,BetulaAl bract,BetulaAl total,BetulaPap seed,BetulaPap bract,Betulapap totalmacros,Unknown conifer budscale,Unknown conifer bud,Unknown deciduous budscale,Dulichium fruit,Cyperaceae seed,Fagus bud,Pinst bud,Pinst tip,Pinst mid,Pinst base,Pinst wholeneedle,Pinst needletotal,Pinst Shortshootnoneedles,Pinst Shortshootwithneedles,Pinst Microstrobili,Pinst Microsporangia,Pinst seed,Pinst seedwing,Pinst totalmacros,Pinres bud,Pinres tip,Pinres mid,Pinres base,Pinres needles,Pinres shortshootnoneedles,Pinres Shortshootwithneedles,Pinres Microstrobili,Pinres Microsporangia,Pinres seed,Pinres totalmacros,Pin2 tip,Pin2 mid,Pin2 shortshootnoneedles,Pin2 shortshootwithneedles,Pin2 needletotal,Pin2 Wholeneedles,Tsuga nedtip,Tsuga nedmid,Tsuga nedbase,Tsuga needles,Tsuga Microstrobili,Tsuga Microsporangia,Tsuga seed,Tsuga twig,Tsuga bud,Tsuga totalmacrofossils,Macrofossil sample
50,216,4790.89,30.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,3.333333333,0,1,0,0,0,0,0,0,0,0,8.333333333,0,11.66666667,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,221,4964.17,25.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,4,0,8,0,1,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,226,5134.07,30.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33333333,0,0,0,0,0,0,0,10,0,1,0,0,0,0,3.333333333,0,0,3.333333333,6.666666667,0,5,0,8.33,0,0,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,231,5301.42,38.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.78947368,0,0,0,0,0,1.315789474,0,1.315789474,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,236,5466.47,30.00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,1.666666667,1.666666667,21.66666667,0,1.66,0,0,0,0,1.666666667,0,0,1.666666667,5,5,16.66666667,0,11.333,0,0,0,0,3.333333333,14.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,241,5625.59,32.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.6875,0,0,0,0,0,4.6875,0,26.5625,0,1,0,0,1.5625,0,1.5625,1.5625,0,4.6875,23.4375,1.5625,12.5,0,24.98,1.5625,1.5625,0,0,1.5625,29.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,246,5772.86,30.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666667,1.666666667,45,0,0,0,0,0,1.666666667,0,5,0,1,0,0,0,0,0,0,0,0,21.66666667,3.333333333,0,0,25,0,0,0,0,1.666666667,26.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,251,5926.16,30.00,1,1,0,0,0,0,0,0,0,1.666666667,0,1.666666667,0,0,0,0,0,0,46.66666667,0,0,1.666666667,0,0,11.66666667,1.666666667,15,0,1.66,0,0,0,0,0,0,0,0,61.66666667,0,1.666666667,0,63.3333,0,0,0,0,0,63.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,256,6084.21,30.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.66666667,0,0,0,0,0,3.333333333,0,3.333333333,0,1,0,0,0,0,1.666666667,0,0,1.666666667,3.333333333,5,8.333333333,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,261,6239.50,27.00,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.07407407,0,0,0,0,0,5.555555556,0,1.851851852,0,1,0,0,0,0,0,0,0,0,7.407407407,1.851851852,3.703703704,0,11..11,0,0,0,0,0,11.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
